chapter_id,exercise_id,exercise_first,exercise_last,question_first,question_last,answer_first,answer_last,expected_terminal_number
102,2A,112,117,112,115,115,117,75
102,2B,117,122,117,121,121,122,75
102,2C,123,127,123,126,126,127,70
102,2D,128,130,128,129,129,130,50
102,2E,131,133,131,132,132,133,50
102,2F,134,137,134,136,136,137,34
102,2G,137,140,137,139,139,140,38
102,2H,140,142,140,141,142,142,40
102,2I,143,146,143,144,145,146,40
102,2J,147,149,147,148,148,149,42
102,2L,149,152,149,151,151,152,41
102,2M,152,154,152,153,153,154,29
103,3A,157,165,157,160,161,165,77
103,3B,166,171,166,168,168,171,50
103,3C,172,177,172,175,175,177,50
103,3D,178,184,178,182,182,184,60
104,4A,187,192,187,190,190,192,50
104,4B,193,195,193,194,194,195,22
104,4C,196,202,196,198,198,202,41
104,4D,202,205,202,204,204,205,25
104,4E,205,209,205,208,208,209,20
104,4F,210,213,210,212,212,213,28
104,4G,214,220,214,217,217,220,36
104,4H,221,224,221,222,223,224,21
104,4I,226,235,226,230,230,235,45
105,5A,237,241,237,240,240,241,32
105,5B,242,253,242,249,249,253,73
105,5C,254,257,254,256,256,257,24
