key,category,chapter,severity,issues,question_text,correct_answer,solution_steps
qa-0001,Arithmetical Ability,Number System,critical,detached_digit_array,What is the place value of 5 in 3254710?,C,TL L T-Th Th H T O 3 2 5 4 7 1 0 Place value of 5 = (5 × 10000) = 50000.
qa-0019,Arithmetical Ability,Number System,critical,repeated_operator_fragment; raw_backslash_separator,What is the sum of the squares of the digits from 1 to 9?,C,We know that: 1 2 + 22 + 32 +....+ n2 = 1 6 n (n + 1) (2n + 1). \ (1 2 + 2 2 + 3 2 +..........+ 9 2) = 1 ×× × = 9 10 19 285. 6
qa-0021,Arithmetical Ability,Number System,review,raw_backslash_separator,"Which one of the following is the correct sequence in respect of the Roman numerals: C, D, L and M?",C,"We have, M = 1000 ; D = 500 ; C = 100 and L = 50. \ M > D > C > L is the correct sequence."
qa-0024,Arithmetical Ability,Number System,review,raw_backslash_separator,"98th term of the infinite series 1, 2, 3, 4, 1, 2, 3, 4, 1, 2, ........ is (M.C.A., 2005)",B,"Given series is 1, 2, 3, 4, 1, 2, 3, 4, 1, 2, 3, 4, .......... \ 96th term is 4. So, T97 = 1 and T98 = 2. Hence, the 98th term is 2."
qa-0027,Arithmetical Ability,Number System,review,raw_backslash_separator,"If n and p are both odd numbers, which of the following is an even number?",A,"We know that the sum of two odd numbers is even. \ ( n is odd, p is odd) | ( n + p) is even."
qa-0028,Arithmetical Ability,Number System,review,raw_backslash_separator,"For the integer n, if n3 is odd, then which of the following statements are true? I. n is odd. II. n2 is odd. III. n2 is even.",C,n3 is odd | n is odd and n2 is odd. \ I and II are true.
qa-0040,Arithmetical Ability,Number System,review,raw_backslash_separator,"If x is a rational number and y is an irrational number, then",D,"( a) Let x = 0 and y = 2 . Then, x is rational and y is irrational. \ x + y = 0 + =22 which is irrational. Thus, x + y is not rational. ( b) Let x = 0 and y = 2 . Then, x is rational and y is irrational. | xy = 0 × 2 = 0, which is rational. Hence, xy is not irrational. ( c) As shown in ( b), xy is not necessarily irrational. ( d) x + y is necessary irrational. But xy can be either rational or irrational. Hence, (d) is true."
qa-0070,Arithmetical Ability,Number System,review,raw_backslash_separator,"The smallest value of natural number n, for which 2n + 1 is not a prime number, is",B,"Putting n = 1, 2, 3, 4 respectively in (2 n + 1) we get: (2 × 1 + 1) = 3, (2 × 2 + 1) = 5, (2 × 3 + 1) = 7 and (2 × 4 + 1) = 9, where 3, 5, 7 are prime numbers. \ The smallest value of n for which (2 n + 1) is not prime, is n = 4."
qa-0075,Arithmetical Ability,Number System,review,raw_backslash_separator,Which one of the following is a prime number?,C,"437 > 20 All prime numbers less than 20 are 2, 3, 5, 7, 11, 13, 17, 19. 161 is divisible by 7, 221 is divisible by 13 and 437 is divisible by 19. 373 is not divisible by any of the above prime numbers. \ 373 is prime."
qa-0077,Arithmetical Ability,Number System,review,raw_backslash_separator,The number of prime numbers between 301 and 320 are,C,"Each of the numbers 302, 303, 304, 305, 306, 308, 309, 310, 312, 314, 315, 316 and 318 is clearly a composite number. Out of 307, 311, 313, 317 and 319 clearly every one is prime. Hence, there are 5 prime numbers between 301 and 320. 78. Clearly, 3 ≠ 4n + 1 and 3 ≠ 4n + 3 for any natural number n. \ Statement (1) is false. Putting p = 3, 5, 7, 11, 13, 17 etc. we get: ( p – 1) ( p + 1) = (2 × 4), (4 × 6), (6 × 8), (10 × 12), (12 × 14), (16 × 18) etc., each one of which is divisible by 4. \ Statement (2) is true. Hence, (1) is false and (2) is true."
qa-0082,Arithmetical Ability,Number System,critical,detached_digit_array,1234 + 2345 – 3456 + 4567 =?,D,Given Expression = (1234 + 2345 + 4567) – 3456 = (8146 – 3456) = 4690. 1 2 3 4 2 3 4 5 + 4 5 6 7 8 1 4 6 – 3 4 5 6 4 6 9 0
qa-0083,Arithmetical Ability,Number System,critical,detached_digit_array; concatenated_formula_numbers,5566 – 7788 + 9988 =? + 4444,C,Let 5566 – 7788 + 9988 = x + 4444. Then (5566 + 9988) – 7788 = x + 4444 | 15554 – 7788 = x + 4444 | x + 4444 = 7766 | x = (7766 – 4444) = 3322. 7 7 6 6 – 4 4 4 4 3 3 2 2
qa-0085,Arithmetical Ability,Number System,critical,detached_digit_array,884697 – 773697 – 102479 =?,C,Given Expression = 884697 – (773697 + 102479) = 884697 – 876176 = 8521. 8 8 4 6 9 7 – 8 7 6 1 7 6 8 5 2 1
qa-0086,Arithmetical Ability,Number System,critical,detached_digit_array,10531 + 4813 – 728 =? × 87,A,Let 10531 + 4813 – 728 = x × 87. Then (15344 – 728) = 87 × x | x = =14616 168. 87 1 0 5 3 1 + 4 8 1 3 1 5 3 4 4 – 7 2 8 1 4 6 1 6
qa-0087,Arithmetical Ability,Number System,critical,detached_digit_array,What is 394 times 113?,B,394 × 113 = 394 × (100 + 10 + 3) = (394 × 100) + (394 × 10) + (394 × 3) = 39400 + 3940 + 1182 = 44522. 3 9 4 0 0 3 9 4 0 + 1 1 8 2 4 4 5 2 2
qa-0090,Arithmetical Ability,Number System,critical,detached_digit_array; dense_number_sequence,8888 + 848 + 88 –? = 7337 + 737,D,Let 8888 + 848 + 88 – x = 7337 + 737. Then 9824 – x = 8074 168 87 1 4616 87 591 522 696 696 × 1 3 6 0 0 – 5 4 4 1 3 0 5 6 | x = 9824 – 8074 | x = 1750. 8 8 8 8 8 4 8 + 8 8 9 8 2 4 7 3 3 7 + 7 3 7 8 0 7 4 9 8 2 4 – 8 0 7 4 1 7 5 0
qa-0091,Arithmetical Ability,Number System,critical,repeated_operator_fragment; concatenated_formula_numbers; dense_number_sequence,414 ×? × 7 = 127512,C,Let 414 × x × 7 = 127512. Then x = = === × 127512 18216 2024 1012 44. 414 7 414 46 23 44 23 1012 92 92 92 ×
qa-0092,Arithmetical Ability,Number System,critical,detached_digit_array,Product of 82540027 and 43253 is,A,"82540027 × 43253 = 82540027 × (40000 + 3000 + 200 + 50 + 3) = (82540027 × 40000) + (82540027 × 3000)+(82540027 × 200) + (82540027 × 50) + (82540027 × 3) 3 3 0 1 6 0 1 0 8 0 0 0 0 2 4 7 6 2 0 0 8 1 0 0 0 1 6 5 0 8 0 0 5 4 0 0 4 1 2 7 0 0 1 3 5 0 + 2 4 7 6 2 0 0 8 1 3 5 7 0 1 0 3 7 8 7 8 3 1 Shortcut Method: Product of unit's digits of the given numbers = 7 × 3 = 21 Clearly, the required product will have 1 as the unit's digit, which is 3570103787831."
